microsoftazuremanagementresources,[tfm=netstandard2.0]Microsoft.Azure.Management.Resources,2.20.1-preview
microsoftazuremanagementsearch,[tfm=netstandard2.0]Microsoft.Azure.Management.Search,4.0.0
microsoftazuremanagementsearchfluent,[tfm=netstandard2.0]Microsoft.Azure.Management.Search.Fluent,1.38.1
microsoftazuremanagementservicebus,[tfm=netstandard2.0]Microsoft.Azure.Management.ServiceBus,5.0.0
microsoftazuremanagementservicebusfluent,[tfm=netstandard2.0]Microsoft.Azure.Management.ServiceBus.Fluent,1.38.1
microsoftazuremanagementservicefabric,[tfm=netstandard2.0]Microsoft.Azure.Management.ServiceFabric,1.3.0
microsoftazuremanagementservicefabricfluent,[tfm=netstandard2.0]Microsoft.Azure.Management.ServiceFabric.Fluent,1.9.1-beta
microsoftazuremanagementservicefabricmanagedclusters,[tfm=netstandard2.0]Microsoft.Azure.Management.ServiceFabricManagedClusters,1.0.0
microsoftazuremanagementsql,[isPrerelease=true;tfm=netstandard2.0]Microsoft.Azure.Management.Sql,3.1.0-preview
microsoftazuremanagementsqlfluent,[tfm=netstandard2.0]Microsoft.Azure.Management.Sql.Fluent,1.38.1
microsoftazuremanagementsqlvirtualmachine,[tfm=netstandard2.0]Microsoft.Azure.Management.SqlVirtualMachine,1.0.0
microsoftazuremanagementstorage,[tfm=netstandard2.0]Microsoft.Azure.Management.Storage,25.0.0
microsoftazuremanagementstoragefluent,[tfm=netstandard2.0]Microsoft.Azure.Management.Storage.Fluent,1.38.1
microsoftazuremanagementstoragecache,[tfm=netstandard2.0]Microsoft.Azure.Management.StorageCache,2.0.0
microsoftazuremanagementstoragesync,[tfm=netstandard2.0]Microsoft.Azure.Management.StorageSync,7.0.0
microsoftazuremanagementstorsimplefluent,[isPrerelease=true;tfm=netstandard2.0]Microsoft.Azure.Management.StorSimple.Fluent,1.9.1-beta
microsoftazuremanagementstorsimple8000series,[tfm=netstandard2.0]Microsoft.Azure.Management.Storsimple8000series,1.0.0
microsoftazuremanagementstreamanalytics,[tfm=netstandard2.0]Microsoft.Azure.Management.StreamAnalytics,4.0.0
microsoftazuremanagementsubscription,[tfm=netstandard2.0]Microsoft.Azure.Management.Subscription,2.0.0
microsoftazuremanagementsupport,[tfm=netstandard2.0]Microsoft.Azure.Management.Support,1.0.1
microsoftazuremanagementsynapse,[tfm=netstandard2.0]Microsoft.Azure.Management.Synapse,2.0.0
microsoftazuremanagementtrafficmanager,[tfm=netstandard2.0]Microsoft.Azure.Management.TrafficManager,2.5.4
