azureresourcemanagerreservations,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.Reservations,1.5.0-alpha.20250514.1
azureresourcemanagerresourceconnector,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.ResourceConnector,1.0.0-alpha.20250513.1
azureresourcemanagerresourcegraph,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.ResourceGraph,1.1.0-alpha.20250514.1
azureresourcemanagerresourcehealth,[tfm=netstandard2.0;isPrerelease=true]Azure.ResourceManager.ResourceHealth,1.1.0-beta.4
azureresourcemanagerresourcemover,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.ResourceMover,1.1.2-alpha.20250514.1
azureresourcemanagerresources,[isPrerelease=true;tfm=netstandard2.0]Azure.ResourceManager.Resources,1.7.0-beta.1
azureresourcemanagerscvmm,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.ScVmm,1.0.0-alpha.20250513.1
azureresourcemanagersearch,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.Search,1.3.0-alpha.20250514.1
azureresourcemanagersecuritycenter,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.SecurityCenter,1.2.0-alpha.20250513.1
azureresourcemanagersecuritydevops,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.SecurityDevOps,1.0.0-alpha.20250514.1
azureresourcemanagersecurityinsights,[isPrerelease=true;tfm=netstandard2.0]Azure.ResourceManager.SecurityInsights,1.2.0-beta.2
azureresourcemanagerselfhelp,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.SelfHelp,1.1.0-alpha.20250513.1
azureresourcemanagerservicebus,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.ServiceBus,1.2.0-alpha.20250514.1
azureresourcemanagerservicefabric,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.ServiceFabric,1.2.0-alpha.20250514.1
azureresourcemanagerservicefabricmanagedclusters,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.ServiceFabricManagedClusters,1.3.0-alpha.20250513.1
azureresourcemanagerservicelinker,[isPrerelease=true;tfm=netstandard2.0]Azure.ResourceManager.ServiceLinker,1.1.0-beta.1
azureresourcemanagerservicenetworking,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.ServiceNetworking,1.2.0-alpha.20250513.1
azureresourcemanagersignalr,[isPrerelease=true;tfm=netstandard2.0]Azure.ResourceManager.SignalR,1.1.0-beta.1
azureresourcemanagersphere,[tfm=netstandard2.0;isPrerelease=true]Azure.ResourceManager.Sphere,1.0.0-beta.2
azureresourcemanagerspringappdiscovery,[tfm=netstandard2.0;isPrerelease=true]Azure.ResourceManager.SpringAppDiscovery,1.0.0-beta.2
azureresourcemanagersql,[isPrerelease=true;tfm=netstandard2.0]Azure.ResourceManager.Sql,1.3.0-beta.10
azureresourcemanagersqlvirtualmachine,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.SqlVirtualMachine,1.2.0-alpha.20250513.1
azureresourcemanagerstandbypool,[tfm=netstandard2.0;isPrerelease=true]Azure.ResourceManager.StandbyPool,1.0.0-beta.1
azureresourcemanagerstorage,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.Storage,1.5.0-alpha.20250513.1
azureresourcemanagerstorageactions,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.StorageActions,1.0.0-alpha.20250514.1
azureresourcemanagerstoragecache,[isPrerelease=true;tfm=netstandard2.0]Azure.ResourceManager.StorageCache,1.3.0-beta.1
azureresourcemanagerstoragemover,[isPrerelease=true;tfm=netstandard2.0]Azure.ResourceManager.StorageMover,1.1.0-beta.2
azureresourcemanagerstoragepool,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.StoragePool,1.2.0-alpha.20250513.1
azureresourcemanagerstoragesync,[isPrerelease=true;tfm=netstandard2.0]Azure.ResourceManager.StorageSync,1.2.0-beta.1
azureresourcemanagerstreamanalytics,[isPrerelease=true;tfm=netstandard2.0]Azure.ResourceManager.StreamAnalytics,1.2.0-beta.1
azureresourcemanagersubscription,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.Subscription,1.2.0-alpha.20250513.1
azureresourcemanagersupport,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.Support,1.2.0-alpha.20250513.1
azureresourcemanagersynapse,[isPrerelease=true;tfm=netstandard2.0]Azure.ResourceManager.Synapse,1.2.0-beta.1
azureresourcemanagerterraform,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.Terraform,1.0.0-alpha.20250513.1
azureresourcemanagertrustedsigning,[tfm=netstandard2.0;isPrerelease=true]Azure.ResourceManager.TrustedSigning,1.0.0-beta.2
azureresourcemanagerwebpubsub,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.WebPubSub,1.2.0-alpha.20250513.1
azureresourcemanagerweightsandbiases,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.WeightsAndBiases,1.0.0-alpha.20250514.1
azureresourcemanagerworkloadmonitor,[isPrerelease=true;tfm=netstandard2.0]Azure.ResourceManager.WorkloadMonitor,1.0.0-beta.5
azureresourcemanagerworkloads,[isPrerelease=true;tfm=netstandard2.0]Azure.ResourceManager.Workloads,1.2.0-beta.1
azureresourcemanagerworkloadssapvirtualinstance,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.WorkloadsSapVirtualInstance,1.0.0-alpha.20250514.1
azuresearchdocuments,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Search.Documents,11.7.0-alpha.20250514.1
azuresecurityattestation,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Security.Attestation,1.1.0-alpha.20250513.1
azuresecuritycodetransparency,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Security.CodeTransparency,1.0.0-alpha.20250513.1
azuresecurityconfidentialledger,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Security.ConfidentialLedger,1.4.1-alpha.20250513.1
azuresecuritykeyvaultadministration,[tfm=netstandard2.0;isPrerelease=true]Azure.Security.KeyVault.Administration,4.6.0-beta.1
azuresecuritykeyvaultcertificates,[tfm=netstandard2.0;isPrerelease=true]Azure.Security.KeyVault.Certificates,4.8.0-beta.1
azuresecuritykeyvaultkeys,[tfm=netstandard2.0;isPrerelease=true]Azure.Security.KeyVault.Keys,4.8.0-beta.1
azuresecuritykeyvaultsecrets,[tfm=netstandard2.0;isPrerelease=true]Azure.Security.KeyVault.Secrets,4.8.0-beta.1
azurestorageblobs,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Storage.Blobs,12.25.0-alpha.20250514.1
azurestorageblobsbatch,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Storage.Blobs.Batch,12.22.0-alpha.20250514.1
azurestorageblobschangefeed,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Storage.Blobs.ChangeFeed,12.0.0-alpha.20250514.1
azurestoragecommon,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Storage.Common,12.24.0-alpha.20250514.1
azurestoragedatamovement,[isPrerelease=true;tfm=netstandard2.0]Azure.Storage.DataMovement,12.0.0-beta.6
azurestoragedatamovementblobs,[isPrerelease=true;tfm=netstandard2.0]Azure.Storage.DataMovement.Blobs,12.0.0-beta.6
azurestoragedatamovementfilesshares,[tfm=netstandard2.0;isPrerelease=true]Azure.Storage.DataMovement.Files.Shares,12.0.0-beta.3
azurestoragefilesdatalake,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Storage.Files.DataLake,12.23.0-alpha.20250514.1
azurestoragefilesshares,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Storage.Files.Shares,12.23.0-alpha.20250514.1
azurestoragequeues,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Storage.Queues,12.23.0-alpha.20250514.1
azuretemplate,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Template,1.0.3-alpha.20250514.4
azureverticalsagrifoodfarming,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Verticals.AgriFood.Farming,1.0.0-alpha.20250513.1
microsoftapplicationinsights,[tfm=netstandard2.0;isPrerelease=true]Microsoft.ApplicationInsights,2.22.0-beta2
microsoftazureappconfigurationaspnetcore,[isPrerelease=true;tfm=netstandard2.0]Microsoft.Azure.AppConfiguration.AspNetCore,8.0.0-preview.3
microsoftazureappconfigurationfunctionsworker,[isPrerelease=true;tfm=netstandard2.0]Microsoft.Azure.AppConfiguration.Functions.Worker,8.0.0-preview.3
microsoftazureapplicationinsights,[isPrerelease=true;tfm=netstandard2.0]Microsoft.Azure.ApplicationInsights,0.9.0-preview
microsoftazurecognitiveserviceslanguageluisauthoring,[isPrerelease=true;tfm=netstandard2.0]Microsoft.Azure.CognitiveServices.Language.LUIS.Authoring,3.2.0-preview.5
microsoftazurecognitiveserviceslanguageluisruntime,[isPrerelease=true;tfm=netstandard2.0]Microsoft.Azure.CognitiveServices.Language.LUIS.Runtime,3.1.0-preview.1
microsoftazurecognitiveserviceslanguagespellcheck,[isPrerelease=true;tfm=netstandard2.0]Microsoft.Azure.CognitiveServices.Language.SpellCheck,4.1.0-preview.1
microsoftazurecognitiveservicesvisioncustomvisiontraining,[isPrerelease=true;tfm=netstandard2.0]Microsoft.Azure.CognitiveServices.Vision.CustomVision.Training,2.1.0-preview
microsoftazurecognitiveservicesvisionface,[isPrerelease=true;tfm=netstandard2.0]Microsoft.Azure.CognitiveServices.Vision.Face,2.8.0-preview.3
microsoftazurecorespatial,[isPrerelease=true;tfm=netstandard2.0]Microsoft.Azure.Core.Spatial,1.2.0-beta.1
microsoftazurecorespatialnewtonsoftjson,[isPrerelease=true;tfm=netstandard2.0]Microsoft.Azure.Core.Spatial.NewtonsoftJson,1.1.0-beta.1
microsoftazurecosmosdbbulkexecutor,[isPrerelease=true;tfm=netstandard2.0]Microsoft.Azure.CosmosDB.BulkExecutor,2.5.1-preview
microsoftazuredatalakestore,[isPrerelease=true;tfm=netstandard2.0]Microsoft.Azure.DataLake.Store,1.2.5-alpha
microsoftazuredevices,[isPrerelease=true;tfm=netstandard2.0]Microsoft.Azure.Devices,2.0.0-preview002
microsoftazuredevicesclient,[isPrerelease=true;tfm=netstandard2.0]Microsoft.Azure.Devices.Client,2.0.0-preview002
microsoftazuredevicesprovisioningclient,[isPrerelease=true;tfm=netstandard2.0]Microsoft.Azure.Devices.Provisioning.Client,2.0.0-preview002
microsoftazuredevicesprovisioningservice,[isPrerelease=true;tfm=netstandard2.0]Microsoft.Azure.Devices.Provisioning.Service,2.0.0-preview002
microsoftazurefunctionsworker,[isPrerelease=true;tfm=netstandard2.0]Microsoft.Azure.Functions.Worker,1.11.0-preview2
microsoftazurefunctionsworkerextensionswebpubsub,[tfm=netstandard2.0;isPrerelease=true]Microsoft.Azure.Functions.Worker.Extensions.WebPubSub,1.7.0-beta.1
microsoftazurehdinsightjob,[isPrerelease=true;tfm=netstandard2.0]Microsoft.Azure.HDInsight.Job,3.0.0-preview.3
microsoftazureiotdigitaltwinmodel,[isPrerelease=true;tfm=netstandard2.0]Microsoft.Azure.IoT.DigitalTwin.Model,1.0.12-preview
microsoftazuremanagementchaos,[isPrerelease=true;tfm=netstandard2.0]Microsoft.Azure.Management.Chaos,0.9.15-preview
microsoftazuremanagementdeviceupdate,[isPrerelease=true;tfm=netstandard2.0]Microsoft.Azure.Management.DeviceUpdate,1.0.0-beta.1
microsoftazuremanagementmaintenance,[isPrerelease=true;tfm=netstandard2.0]Microsoft.Azure.Management.Maintenance,1.5.0-preview
microsoftazuremanagementpurview,[isPrerelease=true;tfm=netstandard2.0]Microsoft.Azure.Management.Purview,1.0.1
microsoftazuremedialivevideoanalyticsedge,[isPrerelease=true;tfm=netstandard2.0]Microsoft.Azure.Media.LiveVideoAnalytics.Edge,1.0.4-preview.1
microsoftazurerelay,[isPrerelease=true;tfm=netstandard2.0]Microsoft.Azure.Relay,3.0.0-preview
microsoftazuresynapse,[isPrerelease=true;tfm=netstandard2.0]Microsoft.Azure.Synapse,0.1.0-preview
microsoftazurewebjobsextensionsauthenticationevents,[isPrerelease=true;tfm=netstandard2.0]Microsoft.Azure.WebJobs.Extensions.AuthenticationEvents,1.0.0-beta.8
microsoftazurewebjobsextensionsclients,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Microsoft.Azure.WebJobs.Extensions.Clients,1.0.0-alpha.20250514.1
microsoftazurewebjobsextensionseventhubs,[tfm=netstandard2.0;isPrerelease=true]Microsoft.Azure.WebJobs.Extensions.EventHubs,6.4.0-beta.1
microsoftazurewebjobsextensionsservicebus,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Microsoft.Azure.WebJobs.Extensions.ServiceBus,5.17.0-alpha.20250513.1
microsoftazurewebjobsextensionssignalrservice,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Microsoft.Azure.WebJobs.Extensions.SignalRService,2.1.0-alpha.20250513.1
microsoftazurewebjobsextensionsstorage,[tfm=netstandard2.0;isPrerelease=true]Microsoft.Azure.WebJobs.Extensions.Storage,5.3.0-beta.1
microsoftazurewebjobsextensionsstorageblobs,[tfm=netstandard2.0;isPrerelease=true]Microsoft.Azure.WebJobs.Extensions.Storage.Blobs,5.3.0-beta.1
microsoftazurewebjobsextensionsstoragequeues,[tfm=netstandard2.0;isPrerelease=true]Microsoft.Azure.WebJobs.Extensions.Storage.Queues,5.3.0-beta.1
microsoftazurewebjobsextensionswebpubsubforsocketio,[tfm=netstandard2.0;isPrerelease=true]Microsoft.Azure.WebJobs.Extensions.WebPubSubForSocketIO,1.0.0-beta.4
microsoftcorewcfazurestoragequeues,[tfm=netstandard2.0;isPrerelease=true]Microsoft.CoreWCF.Azure.StorageQueues,1.0.0-beta.1
microsoftextensionsazure,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Microsoft.Extensions.Azure,1.12.0-alpha.20250514.1
microsoftextensionsconfigurationazureappconfiguration,[isPrerelease=true;tfm=netstandard2.0]Microsoft.Extensions.Configuration.AzureAppConfiguration,8.0.0-preview.3
microsoftfeaturemanagement,[isPrerelease=true;tfm=netstandard2.0]Microsoft.FeatureManagement,2.6.0-preview2
microsoftfeaturemanagementaspnetcore,[isPrerelease=true;tfm=netstandard2.0]Microsoft.FeatureManagement.AspNetCore,3.0.0-preview
microsoftwcfazurestoragequeues,[isPrerelease=true;tfm=net6.0]Microsoft.WCF.Azure.StorageQueues,1.0.0-beta.1
systemclientmodel,[tfm=netstandard2.0;isPrerelease=true]System.ClientModel,1.4.0-beta.6
